date,geography,geography code,Household size: Total: All household spaces; measures: Value,Household size: 0 people in household; measures: Value,Household size: 1 person in household; measures: Value,Household size: 2 people in household; measures: Value,Household size: 3 people in household; measures: Value,Household size: 4 people in household; measures: Value,Household size: 5 people in household; measures: Value,Household size: 6 people in household; measures: Value,Household size: 7 people in household; measures: Value,Household size: 8 or more people in household; measures: Value
2021,Bury 015A,E01004991,597,0,191,196,93,80,25,8,1,3
2021,Bury 015B,E01004992,633,0,213,201,123,61,23,7,5,0
2021,Bury 015C,E01004993,777,0,202,226,163,123,41,14,5,3
2021,Bury 015D,E01004994,676,0,274,212,105,62,18,4,0,1
2021,Bury 016A,E01004990,666,0,213,206,107,86,36,12,5,1
2021,Bury 016B,E01004996,754,0,364,207,88,63,23,6,3,0
2021,Bury 016C,E01005004,855,0,462,207,95,58,18,11,3,1
2021,Bury 016D,E01005008,951,0,356,260,167,107,40,13,5,3
2021,Bury 016E,E01005009,861,0,380,251,129,56,24,12,6,3
2021,Bury 017A,E01004945,650,0,195,220,106,89,30,3,5,2
2021,Bury 017B,E01005055,585,0,138,209,112,89,22,12,3,0
2021,Bury 017C,E01005056,593,0,216,212,78,66,13,4,3,1
2021,Bury 017D,E01005057,670,0,160,252,120,106,21,11,0,0
2021,Bury 017E,E01005058,494,0,93,168,84,105,32,6,3,3
2021,Bury 018A,E01004995,652,0,180,263,96,73,23,15,2,0
2021,Bury 018B,E01005010,651,0,160,231,122,98,30,7,3,0
2021,Bury 018C,E01005012,776,0,268,242,120,98,33,8,6,1
2021,Bury 018D,E01005013,1013,0,257,300,205,158,61,26,5,1
2021,Bury 019A,E01004984,572,0,163,208,68,90,28,11,2,2
2021,Bury 019B,E01004985,593,0,136,240,83,92,28,12,1,1
2021,Bury 019C,E01004989,571,0,147,210,102,80,20,7,3,2
2021,Bury 019D,E01005007,699,0,244,274,102,55,14,7,2,1
2021,Bury 019E,E01005011,597,0,150,226,104,80,32,2,3,0
2021,Bury 020A,E01004983,568,0,167,192,102,61,31,8,5,2
2021,Bury 020B,E01004986,821,0,322,298,125,54,18,2,1,1
2021,Bury 020C,E01004987,659,0,348,131,88,62,20,6,1,3
2021,Bury 020D,E01004988,626,0,205,223,95,74,21,7,0,1
2021,Bury 021A,E01004941,756,0,232,200,134,132,46,7,5,0
2021,Bury 021B,E01004942,643,0,188,162,118,82,62,19,5,7
2021,Bury 021C,E01004943,708,0,155,235,144,116,39,14,5,0
2021,Bury 021D,E01004944,631,0,145,248,118,87,24,7,2,0
2021,Bury 021E,E01004946,776,0,304,217,139,74,33,5,4,0
2021,Bury 022A,E01004969,710,0,297,221,104,62,17,8,0,1
2021,Bury 022B,E01004970,606,0,117,204,114,117,41,11,2,0
2021,Bury 022C,E01004971,600,0,153,202,114,90,32,4,4,1
2021,Bury 022D,E01005034,717,0,227,243,105,98,34,6,4,0
2021,Bury 023A,E01004972,570,0,149,163,104,94,36,19,3,2
2021,Bury 023B,E01004973,651,0,179,228,118,94,22,6,3,1
2021,Bury 023C,E01004975,771,0,321,267,106,58,11,6,2,0
2021,Bury 023D,E01005039,686,0,254,223,104,64,23,10,6,2
2021,Bury 023E,E01005045,723,0,247,242,114,80,24,12,3,1
2021,Bury 024A,E01004974,601,0,164,224,93,85,30,3,1,1
2021,Bury 024B,E01005033,595,0,171,175,79,77,32,22,15,24
2021,Bury 024C,E01005036,1068,0,543,306,103,72,36,8,0,0
2021,Bury 024D,E01005037,631,0,191,215,102,78,36,6,2,1
2021,Bury 025A,E01005031,634,0,195,187,122,84,28,12,3,3
2021,Bury 025B,E01005032,558,0,230,154,83,56,25,6,2,2
2021,Bury 025C,E01005035,656,0,206,232,120,77,15,4,0,2
2021,Bury 025D,E01005038,525,0,110,180,105,83,38,6,3,0
2021,Bury 026A,E01005040,691,0,186,190,130,95,52,27,8,3
2021,Bury 026B,E01005041,527,0,60,136,102,73,75,43,19,19
2021,Bury 026C,E01005042,617,0,137,179,88,70,53,39,22,29
2021,Bury 026D,E01005043,490,0,75,107,60,66,62,33,37,50
2021,Bury 026E,E01005044,475,0,106,78,49,48,45,51,41,57
2021,Manchester 001A,E01005098,766,0,329,212,102,67,43,11,1,1
2021,Manchester 001B,E01005099,692,0,183,160,136,104,71,28,6,4
2021,Manchester 001C,E01005100,659,0,181,203,115,92,47,16,3,2
2021,Manchester 001D,E01005102,623,0,202,219,114,66,17,5,0,0
