date,geography,geography code,Household size: Total: All household spaces; measures: Value,Household size: 0 people in household; measures: Value,Household size: 1 person in household; measures: Value,Household size: 2 people in household; measures: Value,Household size: 3 people in household; measures: Value,Household size: 4 people in household; measures: Value,Household size: 5 people in household; measures: Value,Household size: 6 people in household; measures: Value,Household size: 7 people in household; measures: Value,Household size: 8 or more people in household; measures: Value
2021,Stockport 021,E02001207,2942,0,847,1047,498,389,122,31,6,2
2021,Stockport 022,E02001208,3444,0,1236,1097,569,403,103,25,8,3
2021,Stockport 023,E02001209,3441,0,1110,1185,575,413,119,24,9,6
2021,Stockport 024,E02001210,3044,0,901,915,570,436,148,59,12,3
2021,Stockport 025,E02001211,2606,0,680,825,450,451,132,43,13,12
2021,Stockport 026,E02001212,2682,0,753,762,487,386,179,74,29,12
2021,Stockport 027,E02001213,4276,0,1364,1366,777,563,153,37,12,4
2021,Stockport 028,E02001214,3171,0,927,969,498,462,196,62,37,20
2021,Stockport 029,E02001215,2627,0,814,969,375,354,86,26,1,2
2021,Stockport 030,E02001216,3326,0,1015,1098,500,514,144,41,7,7
2021,Stockport 031,E02001217,3136,0,1159,1045,458,333,114,15,9,3
2021,Stockport 032,E02001218,2358,0,515,861,422,413,116,22,6,3
2021,Stockport 033,E02001219,2220,0,563,829,391,332,84,16,4,1
2021,Stockport 034,E02001220,2316,0,649,729,387,403,118,25,3,2
2021,Stockport 035,E02001221,2387,0,551,926,378,409,101,16,3,3
2021,Stockport 036,E02001222,2418,0,594,769,385,408,164,61,12,25
2021,Stockport 037,E02001223,2796,0,767,1001,456,447,93,25,5,2
2021,Stockport 038,E02001224,2550,0,703,1090,336,316,87,13,4,1
2021,Stockport 039,E02001225,3029,0,790,1035,520,526,121,28,3,6
2021,Stockport 040,E02001226,2788,0,752,851,499,429,162,58,18,19
2021,Stockport 041,E02001227,2333,0,566,877,356,402,116,14,2,0
2021,Stockport 042,E02001228,2519,0,589,940,416,456,92,19,5,2
2021,Tameside 001,E02001229,4669,0,1565,1646,701,576,135,28,13,5
2021,Tameside 002,E02001230,2346,0,576,830,425,327,117,47,14,10
2021,Tameside 003,E02001231,2864,0,706,969,546,459,131,40,10,3
2021,Tameside 004,E02001232,3610,0,1075,1152,694,432,176,47,21,13
2021,Tameside 005,E02001233,3377,0,1149,1043,536,387,157,56,23,26
2021,Tameside 006,E02001234,3260,0,1042,979,598,359,168,59,36,19
2021,Tameside 007,E02001235,3056,0,945,978,590,366,108,39,11,19
2021,Tameside 008,E02001236,2623,0,898,781,461,304,130,36,11,2
2021,Tameside 009,E02001237,3090,0,998,962,528,428,128,31,8,7
2021,Tameside 010,E02001238,3540,0,1202,1128,584,429,137,42,13,5
2021,Tameside 011,E02001239,3987,0,1185,1259,760,514,189,58,14,8
2021,Tameside 012,E02001240,2635,0,696,940,459,354,128,35,13,10
2021,Tameside 013,E02001241,4715,0,2092,1060,533,446,254,157,86,87
2021,Tameside 014,E02001242,2888,0,762,998,528,420,126,41,4,9
2021,Tameside 015,E02001243,3827,0,1307,1397,574,404,105,27,11,2
2021,Tameside 016,E02001244,2306,0,601,867,425,307,83,15,2,6
2021,Tameside 017,E02001245,3623,0,1308,1174,538,417,132,41,4,9
2021,Tameside 018,E02001246,3182,0,1062,990,540,396,132,43,11,8
2021,Tameside 019,E02001247,3276,0,1104,1063,571,360,119,34,17,8
2021,Tameside 020,E02001248,5219,0,1822,1559,877,597,224,98,27,15
2021,Tameside 021,E02001249,2921,0,1004,1012,462,317,90,25,5,6
2021,Tameside 022,E02001250,2739,0,704,1039,520,335,99,27,12,3
2021,Tameside 023,E02001251,2833,0,943,1112,376,292,79,23,6,2
2021,Tameside 024,E02001252,3278,0,987,1159,508,465,119,30,7,3
2021,Tameside 025,E02001253,2257,0,766,772,362,238,98,13,4,4
2021,Tameside 026,E02001254,2490,0,786,866,438,271,93,28,4,4
2021,Tameside 027,E02001255,3233,0,1034,976,594,353,188,67,10,11
2021,Tameside 028,E02001256,4176,0,1452,1127,629,466,272,123,67,40
2021,Tameside 029,E02001257,4284,0,1650,1349,665,437,138,30,13,2
2021,Tameside 030,E02001258,3235,0,955,1210,512,388,116,31,17,6
2021,Trafford 001,E02001259,4764,0,1801,1212,675,483,304,167,66,56
2021,Trafford 002,E02001260,3075,0,738,1067,602,505,122,32,7,2
2021,Trafford 003,E02001261,3665,0,1125,1147,627,451,196,74,25,20
2021,Trafford 004,E02001262,3083,0,841,798,485,472,252,129,61,45
2021,Trafford 005,E02001263,3410,0,883,1190,598,533,160,37,6,3
2021,Trafford 006,E02001264,3300,0,772,1060,596,549,215,74,19,15
2021,Trafford 007,E02001265,3387,0,950,1091,636,512,152,38,6,2
2021,Trafford 008,E02001266,3091,0,1150,927,450,354,142,52,14,2
2021,Trafford 009,E02001267,3389,0,1336,1073,462,391,90,27,8,2
2021,Trafford 010,E02001268,2958,0,808,1059,491,468,109,18,3,2
2021,Trafford 011,E02001269,3581,0,1254,1059,560,424,168,73,22,21
2021,Trafford 012,E02001270,3653,0,1155,1167,565,600,133,28,3,2
2021,Trafford 013,E02001271,2787,0,827,857,525,398,150,24,6,0
2021,Trafford 014,E02001272,3366,0,987,1088,554,577,121,32,5,2
2021,Trafford 015,E02001273,4350,0,1658,1322,587,581,157,34,8,3
2021,Trafford 016,E02001274,3148,0,777,1057,516,561,173,50,11,3
2021,Trafford 017,E02001275,3346,0,1011,1031,590,429,196,66,12,11
2021,Trafford 018,E02001276,3251,0,887,941,661,537,163,42,13,7
2021,Trafford 019,E02001277,3802,0,1147,1049,727,596,207,53,13,10
2021,Trafford 020,E02001278,3362,0,807,1029,635,665,167,48,9,2
2021,Trafford 021,E02001279,3166,0,642,1062,596,681,146,28,8,3
2021,Trafford 022,E02001280,3513,0,1159,1031,548,514,180,55,20,6
2021,Trafford 023,E02001281,3073,0,751,1026,487,622,156,29,1,1
2021,Trafford 024,E02001282,4226,0,1225,1345,768,673,155,46,9,5
2021,Trafford 025,E02001283,4092,0,1287,1397,570,613,173,37,11,4
2021,Trafford 026,E02001284,3122,0,687,999,573,634,179,35,14,1
2021,Trafford 027,E02001285,3259,0,978,1141,475,449,158,46,8,4
2021,Trafford 028,E02001286,3058,0,729,942,480,553,243,73,25,13
2021,Wigan 001,E02001287,2800,0,697,1053,522,410,95,16,6,1
2021,Wigan 002,E02001288,3618,0,1010,1369,611,483,108,31,4,2
2021,Wigan 003,E02001289,4448,0,1230,1722,717,597,142,31,7,2
2021,Wigan 004,E02001290,2690,0,811,973,450,337,95,17,6,1
2021,Wigan 005,E02001291,3331,0,956,1163,586,443,123,41,14,5
2021,Wigan 006,E02001292,3684,0,1255,1310,556,416,114,29,0,4
2021,Wigan 007,E02001293,2674,0,711,1022,464,359,84,28,5,1
2021,Wigan 008,E02001294,3681,0,1353,1200,582,378,121,40,4,3
2021,Wigan 009,E02001295,3543,0,1632,965,473,305,114,36,9,9
2021,Wigan 010,E02001296,3603,0,1087,1018,655,522,210,65,30,16
2021,Wigan 011,E02001297,2927,0,982,957,514,323,105,31,7,8
2021,Wigan 012,E02001298,3364,0,1032,1007,641,422,177,55,22,8
2021,Wigan 013,E02001299,3878,0,1271,1329,662,438,132,36,4,6
2021,Wigan 014,E02001300,3505,0,1156,1170,630,392,127,16,12,2
2021,Wigan 015,E02001301,4078,0,1497,1276,666,425,161,44,4,5
2021,Wigan 016,E02001302,3360,0,1039,1078,590,428,158,47,16,4
2021,Wigan 017,E02001303,3868,0,1291,1178,661,467,198,46,22,5
2021,Wigan 018,E02001304,5610,0,1632,2033,991,733,179,32,7,3
2021,Wigan 019,E02001305,3642,0,916,1476,599,481,132,26,9,3
2021,Wigan 020,E02001306,3028,0,741,1185,564,397,103,26,10,2
2021,Wigan 021,E02001307,4616,0,941,1691,907,828,204,35,9,1
2021,Wigan 022,E02001308,2721,0,889,998,445,288,75,20,3,3
2021,Wigan 023,E02001309,3828,0,1318,1331,602,435,115,23,4,0
2021,Wigan 024,E02001310,3914,0,1219,1224,722,514,167,53,11,4
2021,Wigan 025,E02001311,3723,0,1244,1283,620,413,119,32,8,4
2021,Wigan 026,E02001312,3427,0,930,1221,601,451,163,43,14,4
2021,Wigan 027,E02001313,3513,0,1146,1147,550,433,167,52,13,5
2021,Wigan 028,E02001314,3221,0,782,1089,618,529,161,39,1,2
2021,Wigan 029,E02001315,4008,0,1009,1538,719,558,149,29,5,1
2021,Wigan 030,E02001316,3494,0,1443,1038,516,319,121,38,10,9
2021,Wigan 031,E02001317,3901,0,1208,1378,676,465,131,27,13,3
2021,Wigan 032,E02001318,3400,0,1050,1172,554,425,149,32,9,9
2021,Wigan 033,E02001319,3667,0,1217,1226,649,378,137,39,10,11
2021,Wigan 034,E02001320,3397,0,1185,1153,553,366,106,27,7,0
2021,Wigan 035,E02001321,3343,0,851,1263,571,466,150,31,9,2
2021,Wigan 036,E02001322,3184,0,958,1234,508,345,100,26,10,3
2021,Wigan 037,E02001323,3431,0,1107,1168,583,428,111,22,4,8
2021,Wigan 038,E02001324,3602,0,1148,1216,603,410,165,45,12,3
2021,Wigan 039,E02001325,3840,0,998,1503,653,524,129,25,7,1
2021,Wigan 040,E02001326,3543,0,1007,1329,586,440,128,38,9,6
