date,geography,geography code,Ethnic group: Total: All usual residents,"Ethnic group: Asian, Asian British or Asian Welsh","Ethnic group: Asian, Asian British or Asian Welsh: Bangladeshi","Ethnic group: Asian, Asian British or Asian Welsh: Chinese","Ethnic group: Asian, Asian British or Asian Welsh: Indian","Ethnic group: Asian, Asian British or Asian Welsh: Pakistani","Ethnic group: Asian, Asian British or Asian Welsh: Other Asian","Ethnic group: Black, Black British, Black Welsh, Caribbean or African","Ethnic group: Black, Black British, Black Welsh, Caribbean or African: African","Ethnic group: Black, Black British, Black Welsh, Caribbean or African: Caribbean","Ethnic group: Black, Black British, Black Welsh, Caribbean or African: Other Black",Ethnic group: Mixed or Multiple ethnic groups,Ethnic group: Mixed or Multiple ethnic groups: White and Asian,Ethnic group: Mixed or Multiple ethnic groups: White and Black African,Ethnic group: Mixed or Multiple ethnic groups: White and Black Caribbean,Ethnic group: Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,Ethnic group: White,"Ethnic group: White: English, Welsh, Scottish, Northern Irish or British",Ethnic group: White: Irish,Ethnic group: White: Gypsy or Irish Traveller,Ethnic group: White: Roma,Ethnic group: White: Other White,Ethnic group: Other ethnic group,Ethnic group: Other ethnic group: Arab,Ethnic group: Other ethnic group: Any other ethnic group
2021,Solihull 013,E02002093,6693,1129,97,41,417,456,118,143,40,86,17,262,89,9,114,50,5007,4639,188,1,5,174,152,75,77
2021,Solihull 014,E02002094,5982,1072,71,46,491,394,70,53,20,28,5,163,71,9,50,33,4579,4255,178,1,1,144,115,44,71
2021,Solihull 015,E02002095,8623,1321,25,103,687,383,123,143,80,46,17,223,68,24,87,44,6702,6338,138,0,5,221,234,42,192
2021,Solihull 016,E02002096,10373,2104,51,118,1205,568,162,167,79,64,24,297,115,28,72,82,7446,6845,235,0,4,362,359,95,264
2021,Solihull 017,E02002097,7343,358,10,20,209,106,13,51,12,25,14,216,84,8,87,37,6671,6428,102,7,2,132,47,8,39
2021,Solihull 018,E02002098,9737,2120,68,174,1089,602,187,161,54,71,36,315,115,19,128,53,6895,6430,241,0,3,221,246,71,175
2021,Solihull 019,E02002099,6902,1577,20,143,950,358,106,58,26,25,7,183,73,16,44,50,4861,4481,180,1,1,198,223,62,161
2021,Solihull 021,E02002101,6304,592,19,46,268,186,73,119,41,59,19,190,34,9,102,45,5319,5114,107,0,1,97,84,9,75
2021,Solihull 022,E02002102,8775,1507,29,133,740,465,140,108,60,41,7,284,109,18,93,64,6639,6180,212,0,2,245,237,72,165
2021,Solihull 023,E02002103,6085,625,15,63,377,119,51,51,23,22,6,131,64,4,34,29,5200,4885,182,0,1,132,78,21,57
2021,Solihull 024,E02002104,5847,841,19,116,522,122,62,62,30,26,6,139,53,6,42,38,4721,4453,123,0,0,145,84,12,72
2021,Solihull 025,E02002105,8264,434,5,31,315,32,51,53,23,21,9,199,91,11,61,36,7530,7269,78,11,0,172,48,7,41
2021,Solihull 026,E02002106,9727,550,10,53,322,115,50,73,32,36,5,265,122,13,84,46,8749,8405,133,0,0,211,90,20,70
