date,geography,geography code,Number of households: Number of households; measures: Value
2021,Oldham 031B,E01005364,692
2021,Oldham 031C,E01005368,761
2021,Oldham 031D,E01005376,573
2021,Oldham 031E,E01005378,663
2021,Oldham 032A,E01005363,840
2021,Oldham 032B,E01005369,827
2021,Oldham 032C,E01005370,794
2021,Oldham 032D,E01005371,603
2021,Oldham 033A,E01005365,615
2021,Oldham 033B,E01005366,752
2021,Oldham 033C,E01005367,569
2021,Oldham 033D,E01005440,651
2021,Oldham 034A,E01005372,535
2021,Oldham 034B,E01005373,509
2021,Oldham 034C,E01005374,618
2021,Oldham 034D,E01005375,646
2021,Oldham 036C,E01005460,820
2021,Oldham 036D,E01005463,512
2021,Oldham 036A,E01034232,433
2021,Oldham 036B,E01034233,431
2021,Oldham 037B,E01005435,495
2021,Oldham 037D,E01005436,520
2021,Oldham 037A,E01005461,577
2021,Oldham 037C,E01005462,628
2021,Rochdale 001A,E01005518,674
2021,Rochdale 001B,E01005520,805
2021,Rochdale 001C,E01005522,769
2021,Rochdale 001D,E01005523,807
2021,Rochdale 002A,E01005519,621
2021,Rochdale 002B,E01005594,598
2021,Rochdale 002C,E01005597,828
2021,Rochdale 002D,E01005598,689
2021,Rochdale 003A,E01005516,522
2021,Rochdale 003B,E01005517,642
2021,Rochdale 003C,E01005521,673
2021,Rochdale 003D,E01005596,816
2021,Rochdale 004A,E01005578,515
2021,Rochdale 004B,E01005579,550
2021,Rochdale 004C,E01005586,632
2021,Rochdale 004D,E01005593,754
2021,Rochdale 004E,E01005595,748
2021,Rochdale 005A,E01005489,506
2021,Rochdale 005B,E01005490,422
2021,Rochdale 005C,E01005491,684
2021,Rochdale 005D,E01005493,716
2021,Rochdale 005E,E01005494,711
2021,Rochdale 005F,E01005495,698
2021,Rochdale 006A,E01005488,585
2021,Rochdale 006B,E01005492,617
2021,Rochdale 006C,E01005499,683
2021,Rochdale 006D,E01005571,727
2021,Rochdale 007A,E01005570,589
2021,Rochdale 007B,E01005572,628
2021,Rochdale 007C,E01005573,565
2021,Rochdale 007D,E01005574,693
2021,Rochdale 007E,E01005587,514
2021,Rochdale 007F,E01005588,656
2021,Rochdale 008A,E01005580,578
2021,Rochdale 008B,E01005581,721
2021,Rochdale 008D,E01005583,519
2021,Rochdale 008F,E01005585,501
2021,Rochdale 008H,E01034234,457
2021,Rochdale 008I,E01034235,471
