date,geography,geography code,Sex: All persons; measures: Value,Sex: Female; measures: Value,Sex: Male; measures: Value
2021,Birmingham 111,E02001937,8384,4315,4069
2021,Birmingham 112,E02001938,7870,4018,3852
2021,Birmingham 113,E02001939,6294,3372,2922
2021,Birmingham 115,E02001941,6550,3397,3153
2021,Birmingham 116,E02001942,6780,3529,3251
2021,Birmingham 117,E02001943,6475,3298,3177
2021,Birmingham 118,E02001944,8068,4165,3903
2021,Birmingham 119,E02001945,7894,4084,3810
2021,Birmingham 120,E02001946,7583,3846,3737
2021,Birmingham 121,E02001947,6239,3273,2966
2021,Birmingham 122,E02001948,7346,3765,3581
2021,Birmingham 123,E02001949,6161,3258,2903
2021,Birmingham 124,E02001950,8569,4452,4117
2021,Birmingham 125,E02001951,9433,4993,4440
2021,Birmingham 126,E02001952,9130,4744,4386
2021,Birmingham 127,E02001953,7112,3685,3427
2021,Birmingham 128,E02001954,7581,4032,3549
2021,Birmingham 129,E02001955,8096,4189,3907
2021,Birmingham 130,E02001956,6848,3523,3325
2021,Birmingham 131,E02001957,7880,4110,3770
2021,Birmingham 132,E02006807,8210,4172,4038
2021,Birmingham 133,E02006809,10153,5139,5014
2021,Birmingham 134,E02006895,9361,4707,4654
2021,Birmingham 135,E02006896,6124,2831,3293
2021,Birmingham 136,E02006897,8455,4188,4267
2021,Birmingham 137,E02006898,7904,3766,4138
2021,Birmingham 138,E02006899,6145,2794,3351
2021,Birmingham 139,E02006900,15720,7948,7772
2021,Birmingham 141,E02007038,13692,7003,6689
2021,Birmingham 142,E02007039,8305,4174,4131
2021,Birmingham 143,E02007040,7599,3827,3772
2021,Coventry 001,E02001958,8072,4062,4010
2021,Coventry 002,E02001959,6929,3538,3391
2021,Coventry 004,E02001961,7966,4044,3922
2021,Coventry 005,E02001962,7211,3686,3525
2021,Coventry 006,E02001963,6141,3101,3040
2021,Coventry 007,E02001964,11009,5768,5241
2021,Coventry 008,E02001965,8082,4126,3956
2021,Coventry 009,E02001966,7355,3688,3667
2021,Coventry 010,E02001967,6960,3562,3398
2021,Coventry 011,E02001968,7959,4032,3927
2021,Coventry 012,E02001969,6775,3500,3275
2021,Coventry 013,E02001970,5758,2946,2812
2021,Coventry 014,E02001971,6289,3248,3041
2021,Coventry 015,E02001972,11719,5844,5875
2021,Coventry 016,E02001973,8535,4274,4261
2021,Coventry 017,E02001974,9461,4804,4657
2021,Coventry 018,E02001975,7637,3878,3759
2021,Coventry 019,E02001976,7499,3819,3680
2021,Coventry 020,E02001977,10016,4788,5228
2021,Coventry 021,E02001978,6811,3357,3454
2021,Coventry 022,E02001979,5604,2890,2714
2021,Coventry 023,E02001980,5791,2945,2846
2021,Coventry 024,E02001981,13440,6541,6899
2021,Coventry 025,E02001982,8410,4285,4125
2021,Coventry 026,E02001983,7610,3815,3795
2021,Coventry 027,E02001984,10468,5335,5133
2021,Coventry 028,E02001985,9241,3912,5329
2021,Coventry 029,E02001986,7981,4009,3972
2021,Coventry 030,E02001987,5910,2858,3052
2021,Coventry 031,E02001988,11152,5189,5963
2021,Coventry 032,E02001989,6295,3166,3129
2021,Coventry 033,E02001990,9184,4696,4488
2021,Coventry 034,E02001991,8475,4212,4263
2021,Coventry 035,E02001992,10785,5605,5180
2021,Coventry 036,E02001993,8985,4405,4580
2021,Coventry 037,E02001994,7961,4028,3933
2021,Coventry 038,E02001995,9426,4777,4649
2021,Coventry 039,E02001996,7688,3921,3767
2021,Coventry 040,E02001997,8511,4336,4175
2021,Coventry 041,E02001998,6036,3032,3004
2021,Coventry 042,E02001999,9105,4531,4574
2021,Coventry 043,E02006805,9084,4584,4500
2021,Dudley 001,E02002000,8549,4443,4106
2021,Dudley 002,E02002001,6064,3046,3018
2021,Dudley 003,E02002002,6901,3533,3368
2021,Dudley 004,E02002003,9019,4530,4489
2021,Dudley 005,E02002004,7575,3955,3620
2021,Dudley 006,E02002005,9888,5126,4762
2021,Dudley 007,E02002006,6481,3281,3200
2021,Dudley 008,E02002007,9028,4589,4439
2021,Dudley 009,E02002008,8164,4165,3999
2021,Dudley 010,E02002009,7117,3638,3479
2021,Dudley 011,E02002010,8372,4061,4311
2021,Dudley 012,E02002011,5905,3000,2905
2021,Dudley 013,E02002012,8413,4334,4079
2021,Dudley 014,E02002013,6572,3390,3182
2021,Dudley 015,E02002014,8312,4184,4128
2021,Dudley 016,E02002015,7059,3565,3494
2021,Dudley 017,E02002016,8047,4184,3863
2021,Dudley 018,E02002017,8071,4103,3968
2021,Dudley 019,E02002018,8931,4608,4323
2021,Dudley 020,E02002019,7798,3964,3834
2021,Dudley 021,E02002020,9485,4853,4632
2021,Dudley 022,E02002021,7709,3795,3914
2021,Dudley 023,E02002022,8881,4525,4356
2021,Dudley 024,E02002023,5358,2726,2632
2021,Dudley 025,E02002024,8738,4437,4301
2021,Dudley 026,E02002025,8896,4498,4398
2021,Dudley 027,E02002026,6782,3413,3369
2021,Dudley 028,E02002027,5379,2700,2679
2021,Dudley 029,E02002028,5732,2933,2799
2021,Dudley 030,E02002029,6224,3252,2972
2021,Dudley 031,E02002030,6816,3394,3422
2021,Dudley 032,E02002031,6262,3107,3155
2021,Dudley 033,E02002032,10213,5248,4965
2021,Dudley 034,E02002033,7815,3987,3828
2021,Dudley 035,E02002034,8168,4089,4079
2021,Dudley 036,E02002035,6115,3145,2970
2021,Dudley 037,E02002036,6668,3204,3464
2021,Dudley 038,E02002037,5923,3057,2866
2021,Dudley 039,E02002038,9615,4863,4752
2021,Dudley 040,E02002039,6208,3082,3126
2021,Dudley 041,E02002040,5933,3017,2916
2021,Dudley 042,E02002041,6272,3332,2940
