date,geography,geography code,Migrant indicator: Total: All usual residents; measures: Value,Migrant indicator: Address one year ago is the same as the address of enumeration; measures: Value,Migrant indicator: Address one year ago is student term-time or boarding school address in the UK; measures: Value,Migrant indicator: Migrant from within the UK: Address one year ago was in the UK; measures: Value,Migrant indicator: Migrant from outside the UK: Address one year ago was outside the UK; measures: Value
2021,Manchester 031B,E01005220,2066,1891,3,146,26
2021,Manchester 031C,E01005221,2523,2246,13,219,45
2021,Manchester 031D,E01005222,2140,1912,10,163,55
2021,Manchester 032A,E01005184,2271,1249,417,545,60
2021,Manchester 032B,E01005185,3257,506,743,1863,145
2021,Manchester 032C,E01005271,1976,749,526,645,56
2021,Manchester 032F,E01034128,3711,1864,610,1087,150
2021,Manchester 033A,E01005154,1415,1177,19,200,19
2021,Manchester 033B,E01005156,1453,1273,12,163,5
2021,Manchester 033C,E01005158,1466,1294,15,140,17
2021,Manchester 033D,E01005300,1523,1385,10,121,7
2021,Manchester 033E,E01005301,1470,1289,7,153,21
2021,Manchester 034A,E01005118,1458,1358,3,94,3
2021,Manchester 034B,E01005120,1878,1711,3,142,22
2021,Manchester 034C,E01005215,2023,1844,3,143,33
2021,Manchester 034D,E01005216,1503,1321,12,158,12
2021,Manchester 034E,E01005217,2034,1868,10,122,34
2021,Manchester 034F,E01005218,1662,1284,106,251,21
2021,Manchester 035A,E01005270,1748,1593,14,133,8
2021,Manchester 035B,E01005272,1955,1744,10,179,22
2021,Manchester 035C,E01005273,1662,751,335,528,48
2021,Manchester 035D,E01005278,1841,1291,223,290,37
2021,Manchester 035E,E01005279,2165,1967,2,174,22
2021,Manchester 036A,E01005305,1687,1281,93,294,19
2021,Manchester 036B,E01005309,2223,934,459,754,76
2021,Manchester 036C,E01005310,1978,958,443,540,37
2021,Manchester 036D,E01005311,1808,1224,207,349,28
2021,Manchester 036E,E01005312,1980,671,626,639,44
2021,Manchester 037A,E01005082,1784,1633,2,142,7
2021,Manchester 037B,E01005153,1528,1309,8,203,8
2021,Manchester 037C,E01005155,1408,1209,7,180,12
2021,Manchester 037D,E01005157,1517,1396,10,106,5
2021,Manchester 038A,E01005274,1735,1304,98,306,27
2021,Manchester 038B,E01005275,1766,1141,164,431,30
2021,Manchester 038C,E01005276,1452,1032,100,298,22
2021,Manchester 038D,E01005277,1667,1344,26,280,17
2021,Manchester 039A,E01005076,1339,956,44,314,25
