date,geography,geography code,Migrant indicator: Total: All usual residents; measures: Value,Migrant indicator: Address one year ago is the same as the address of enumeration; measures: Value,Migrant indicator: Address one year ago is student term-time or boarding school address in the UK; measures: Value,Migrant indicator: Migrant from within the UK: Address one year ago was in the UK; measures: Value,Migrant indicator: Migrant from outside the UK: Address one year ago was outside the UK; measures: Value
2021,Birmingham 109,E02001935,8010,7456,18,477,59
2021,Birmingham 110,E02001936,6329,5855,22,412,40
2021,Birmingham 111,E02001937,8274,7674,9,548,43
2021,Birmingham 112,E02001938,7777,6907,71,742,57
2021,Birmingham 113,E02001939,6231,5782,11,402,36
2021,Birmingham 115,E02001941,6429,5951,9,421,48
2021,Birmingham 116,E02001942,6709,6132,21,520,36
2021,Birmingham 117,E02001943,6412,5950,13,434,15
2021,Birmingham 118,E02001944,7993,7344,29,570,50
2021,Birmingham 119,E02001945,7790,7272,27,460,31
2021,Birmingham 120,E02001946,7517,6962,25,515,15
2021,Birmingham 121,E02001947,6159,5727,7,407,18
2021,Birmingham 122,E02001948,7265,6774,9,470,12
2021,Birmingham 123,E02001949,6026,5549,10,457,10
2021,Birmingham 124,E02001950,8474,7791,12,634,37
2021,Birmingham 125,E02001951,9321,8720,20,564,17
2021,Birmingham 126,E02001952,8997,8271,31,658,37
2021,Birmingham 127,E02001953,7043,6604,18,404,17
2021,Birmingham 128,E02001954,7491,6914,12,527,38
2021,Birmingham 129,E02001955,7986,7290,5,668,23
2021,Birmingham 130,E02001956,6771,6311,11,426,23
2021,Birmingham 131,E02001957,7795,7279,1,504,11
2021,Birmingham 132,E02006807,8117,7564,27,504,22
2021,Birmingham 133,E02006809,10057,9494,15,498,50
2021,Birmingham 134,E02006895,9221,6668,173,1776,604
2021,Birmingham 135,E02006896,6050,3903,163,1543,441
2021,Birmingham 136,E02006897,8354,5782,253,1851,468
2021,Birmingham 137,E02006898,7827,5401,193,1910,323
