"date","geography","geography code","Year of arrival in the UK: Total: All usual residents; measures: Value","Year of arrival in the UK: Born in the UK; measures: Value","Year of arrival in the UK: Arrived before 1951; measures: Value","Year of arrival in the UK: Arrived 1951 to 1960; measures: Value","Year of arrival in the UK: Arrived 1961 to 1970; measures: Value","Year of arrival in the UK: Arrived 1971 to 1980; measures: Value","Year of arrival in the UK: Arrived 1981 to 1990; measures: Value","Year of arrival in the UK: Arrived 1991 to 2000; measures: Value","Year of arrival in the UK: Arrived 2001 to 2010; measures: Value","Year of arrival in the UK: Arrived 2011 to 2013; measures: Value","Year of arrival in the UK: Arrived 2014 to 2016; measures: Value","Year of arrival in the UK: Arrived 2017 to 2019; measures: Value","Year of arrival in the UK: Arrived 2020 to 2021; measures: Value"
"2021","Cannock Chase","E07000192",100519,96919,68,189,257,253,230,307,893,264,590,376,173
"2021","East Staffordshire","E07000193",124018,106755,100,282,656,672,590,1058,4822,1980,3091,3031,981
"2021","Lichfield","E07000194",106436,101308,130,281,527,427,331,484,1268,396,534,559,191
"2021","Newcastle-under-Lyme","E07000195",123301,114929,105,223,369,429,407,689,2561,736,1128,1133,592
"2021","South Staffordshire","E07000196",110472,106840,114,291,506,352,291,461,812,191,248,264,102
"2021","Stafford","E07000197",136866,126625,187,386,702,625,498,796,2775,857,1558,1416,441
"2021","Staffordshire Moorlands","E07000198",95845,93393,78,169,243,198,177,249,657,191,216,208,66
"2021","Tamworth","E07000199",78647,73339,58,200,304,226,183,281,1158,391,1252,956,299
"2021","North Warwickshire","E07000218",65033,62234,57,160,220,165,146,227,655,203,460,386,120
"2021","Nuneaton and Bedworth","E07000219",134197,118758,87,414,1115,849,586,1095,4755,1504,2429,1866,739
"2021","Rugby","E07000220",114363,93470,145,488,1138,889,641,1225,6323,2235,3462,3211,1136
"2021","Stratford-on-Avon","E07000221",134727,123358,248,496,798,729,653,1085,2895,920,1567,1466,512
"2021","Warwick","E07000222",148453,124265,230,879,1852,1281,941,1745,4775,1864,3309,4635,2677
"2021","Bromsgrove","E07000234",99182,94380,140,382,575,438,372,542,1074,267,346,407,259
"2021","Malvern Hills","E07000235",79486,74872,137,301,383,374,332,434,1064,289,444,484,372
"2021","Redditch","E07000236",87036,77100,89,310,431,476,399,652,3191,1126,1614,1175,473
"2021","Worcester","E07000237",103873,90586,123,339,554,580,569,940,3708,1208,2003,2155,1108
"2021","Wychavon","E07000238",132493,121686,200,388,555,507,484,740,3050,1096,1863,1432,492
"2021","Wyre Forest","E07000239",101606,96555,173,329,389,319,331,454,1367,390,647,496,156
"2021","Birmingham","E08000025",1144919,838959,1387,8950,23257,20672,19133,32348,79376,23717,36779,40584,19757
"2021","Coventry","E08000026",345322,248991,485,2749,5643,3800,2718,6531,25323,7975,13365,17161,10581
"2021","Dudley","E08000027",323488,297930,187,746,2177,1717,1453,2752,7007,1914,3071,3329,1205
"2021","Sandwell","E08000028",341832,261213,181,1572,5825,4651,3806,7179,23450,7369,11255,11011,4320
