"date","geography","geography code","Age of arrival in the UK: Total: All usual residents; measures: Value","Age of arrival in the UK: Born in the UK; measures: Value","Age of arrival in the UK: Arrived in the UK; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 0 to 4 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 5 to 7 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 8 to 9 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 10 to 14 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 15 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 16 to 17 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 18 to 19 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 20 to 24 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 25 to 29 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 30 to 44 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 45 to 59 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 60 to 64 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 65 to 74 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 75 to 84 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 85 to 89 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 90 years and over; measures: Value"
"2021","Cambridge","E07000008",145674,90388,55286,4751,1900,974,2362,550,2341,4124,11486,11623,12287,2348,233,235,63,7,2
"2021","East Cambridgeshire","E07000009",87767,77395,10372,1475,482,266,511,92,280,548,1853,1764,2414,544,68,50,16,6,3
"2021","Fenland","E07000010",102462,89691,12771,1480,538,284,676,155,404,915,2536,1791,2754,1075,71,63,23,6,0
"2021","Huntingdonshire","E07000011",180836,158430,22406,3543,1006,577,1259,235,634,1223,3849,3603,5009,1190,140,103,32,1,2
"2021","South Cambridgeshire","E07000012",162119,135924,26195,3590,1081,602,1304,237,691,1113,4278,5055,6682,1225,134,137,58,8,0
"2021","Basildon","E07000066",187567,165407,22160,2598,891,559,1291,278,725,1177,4332,4304,4854,926,97,109,17,2,0
"2021","Braintree","E07000067",155268,144076,11192,1763,502,313,663,154,384,652,2052,1884,2185,521,36,61,19,2,1
"2021","Brentwood","E07000068",77048,68392,8656,1189,385,228,420,116,302,509,1627,1580,1868,324,32,55,20,0,1
"2021","Castle Point","E07000069",89588,85303,4285,704,228,125,324,76,169,303,818,659,692,131,23,26,2,2,3
"2021","Chelmsford","E07000070",181523,159914,21609,2872,939,502,1116,242,674,1246,4035,4042,4801,864,118,117,32,7,2
"2021","Colchester","E07000071",192712,164707,28005,3973,1348,761,1696,320,1084,2286,5140,4504,5416,1154,134,147,35,4,3
"2021","Epping Forest","E07000072",134980,116277,18703,2091,862,485,1171,261,771,1286,4089,3319,3381,701,96,142,44,4,0
"2021","Harlow","E07000073",93328,76255,17073,1592,682,411,909,261,673,1025,3555,3209,3801,784,74,75,19,1,2
"2021","Maldon","E07000074",66205,63255,2950,571,169,76,185,39,118,177,536,417,493,123,20,17,8,1,0
"2021","Rochford","E07000075",85665,82203,3462,681,183,100,239,61,144,201,641,519,560,91,19,18,5,0,0
"2021","Tendring","E07000076",148290,140821,7469,1484,369,222,493,126,315,495,1230,930,1305,356,56,63,17,5,3
"2021","Uttlesford","E07000077",91341,83396,7945,1404,390,234,485,106,229,433,1408,1220,1521,410,38,50,15,2,0
"2021","Broxbourne","E07000095",99011,81314,17697,1899,866,509,1293,322,811,1375,3795,2933,3088,619,80,83,20,3,1
"2021","Dacorum","E07000096",155082,132881,22201,2783,1000,619,1250,298,763,1363,4456,3882,4531,996,108,110,37,5,0
"2021","Hertsmere","E07000098",107827,83151,24676,2507,1033,584,1479,367,1065,1662,5079,4286,5125,1134,131,154,63,4,3
"2021","North Hertfordshire","E07000099",133210,117793,15417,2141,718,414,948,233,564,942,2975,2740,2965,565,81,87,32,7,5
"2021","Three Rivers","E07000102",93769,75953,17816,2085,837,516,1184,263,787,1179,3526,3016,3443,717,118,100,36,4,5
"2021","Watford","E07000103",102246,67527,34719,3163,1332,835,1876,457,1202,2192,7060,6858,7837,1535,142,173,46,9,2
"2021","Breckland","E07000143",141473,126175,15298,2365,672,404,802,177,446,948,2647,2143,3405,1104,84,70,27,2,2
"2021","Broadland","E07000144",131721,124296,7425,1526,385,232,445,96,232,389,1172,1070,1388,364,54,61,10,0,1
"2021","Great Yarmouth","E07000145",99752,89995,9757,1348,460,286,633,131,319,464,1443,1420,2454,690,55,40,13,0,1
"2021","King's Lynn and West Norfolk","E07000146",154330,138376,15954,2294,719,417,815,164,479,1020,2758,2509,3499,1043,117,81,33,5,1
