date,geography,geography code,Household deprivation: Total: All households; measures: Value,Household deprivation: Household is not deprived in any dimension; measures: Value,Household deprivation: Household is deprived in one dimension; measures: Value,Household deprivation: Household is deprived in two dimensions; measures: Value,Household deprivation: Household is deprived in three dimensions; measures: Value,Household deprivation: Household is deprived in four dimensions; measures: Value
2021,Birmingham 078,E02001904,2625,886,1018,533,170,18
2021,Birmingham 079,E02001905,2648,1634,796,183,34,1
2021,Birmingham 080,E02001906,3878,1841,1367,548,117,5
2021,Birmingham 081,E02001907,4395,1976,1519,728,162,10
2021,Birmingham 082,E02001908,2211,537,836,582,244,12
2021,Birmingham 083,E02001909,2369,605,868,633,249,14
2021,Birmingham 084,E02001910,2343,619,838,655,220,11
2021,Birmingham 085,E02001911,3533,1222,1229,792,273,17
2021,Birmingham 087,E02001913,3176,1392,1078,523,175,8
2021,Birmingham 088,E02001914,2315,1100,705,388,116,6
2021,Birmingham 089,E02001915,4919,1982,1710,885,313,29
2021,Birmingham 090,E02001916,3376,1220,1238,681,218,19
2021,Birmingham 092,E02001918,3977,1914,1217,603,219,24
2021,Birmingham 093,E02001919,2617,1198,871,386,148,14
2021,Birmingham 094,E02001920,3238,1072,1129,764,253,20
2021,Birmingham 095,E02001921,3179,1344,1082,560,180,13
2021,Birmingham 096,E02001922,3505,1372,1414,603,108,8
2021,Birmingham 097,E02001923,3366,1282,1174,689,213,8
2021,Birmingham 098,E02001924,2503,1013,895,445,144,6
2021,Birmingham 099,E02001925,2837,1400,955,379,98,5
2021,Birmingham 100,E02001926,3093,1573,1022,403,90,5
2021,Birmingham 101,E02001927,3011,1040,1070,664,223,14
